Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,4,10,2,3,1924,1,3,1,3,1,4,2,38,3,2,1,3,1,2,2
0,1,18,2,0,1216,1,2,4,2,1,3,3,23,3,1,1,3,1,2,1
1,4,6,2,1,1236,3,3,2,3,1,4,2,50,3,1,1,3,1,1,1
1,4,27,3,9,5117,1,4,3,3,1,4,3,26,3,2,2,3,1,1,1
1,4,20,4,0,3485,5,2,2,1,1,4,1,44,3,2,2,3,1,2,1
1,1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,1
1,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,1,2,1
0,4,18,1,0,6458,1,5,2,3,1,4,4,39,1,2,2,4,2,2,1
1,4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,1,2,1
1,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,1,1,1
0,1,12,2,0,1228,1,3,4,2,1,2,1,24,3,2,1,2,1,1,1
1,2,18,2,9,1941,4,3,4,3,1,2,2,35,3,2,1,2,1,2,1
1,4,18,2,0,1820,1,3,2,4,1,2,2,30,3,2,1,4,1,2,1
0,2,9,1,1,5129,1,5,2,2,1,4,4,74,1,3,1,4,2,2,1
1,4,24,2,3,3181,1,2,4,2,1,4,2,26,3,2,1,3,1,2,1
1,4,9,4,0,1224,1,3,3,3,1,1,1,30,3,2,2,3,1,1,1
1,1,11,4,0,3905,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1
1,1,24,4,1,6615,1,1,2,3,1,4,4,75,3,3,2,4,1,2,1
0,4,18,4,6,1864,2,3,4,2,1,2,1,30,3,2,2,3,1,1,1
1,4,15,4,3,1360,1,3,4,3,1,2,2,31,3,2,2,3,1,1,1
0,4,36,3,9,9572,1,2,1,1,1,1,3,28,3,2,2,3,1,1,1
0,2,60,1,10,14782,2,5,3,2,1,4,4,60,1,3,2,4,1,2,1
1,4,15,2,2,2708,1,2,2,3,1,3,2,27,1,2,2,2,1,1,1
1,2,24,3,3,6403,1,2,1,3,1,2,3,33,3,2,1,3,1,1,1
1,4,24,2,0,1469,2,5,4,4,1,4,1,41,3,1,1,2,1,1,1
1,4,24,2,3,999,5,5,4,3,1,2,3,25,3,2,2,3,1,1,1
1,4,18,4,3,1582,4,5,4,3,1,4,3,46,3,2,2,3,1,1,1
0,1,18,2,2,4153,1,3,2,3,2,3,3,42,3,2,1,3,1,1,1
0,2,21,2,9,2767,2,5,4,1,1,2,3,61,3,1,2,2,1,1,1
1,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,1,1,1
1,2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,1,2,1
1,2,24,4,1,7758,4,5,2,2,1,4,4,29,3,1,1,3,1,1,1
1,4,4,4,3,1503,1,4,2,3,1,1,1,42,3,2,2,2,2,1,1
0,1,12,2,8,902,1,4,4,4,1,4,2,21,3,1,1,3,1,1,1
1,4,6,4,0,362,2,3,4,2,1,4,3,52,3,2,2,2,1,1,1
1,1,36,2,10,15857,1,1,2,1,2,3,3,43,3,2,1,4,1,1,1
1,1,30,0,2,4583,1,3,2,1,3,2,1,32,3,2,2,3,1,1,1
1,3,18,2,0,1961,1,5,3,2,1,2,3,23,3,2,1,4,1,1,1
1,3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,1,1,1
1,2,18,4,2,1295,1,2,4,2,1,1,2,27,3,2,2,3,1,1,1
1,2,36,2,6,3711,5,3,2,4,1,2,3,27,3,2,1,3,1,1,1
1,2,24,2,3,3758,3,1,1,2,1,4,4,23,3,1,1,1,1,1,1
0,2,27,2,9,3915,1,3,4,3,1,2,3,36,3,2,1,3,2,2,1
1,1,12,2,2,2578,1,1,3,2,1,4,4,55,3,3,1,4,1,1,1
1,1,18,0,9,3104,1,4,3,3,1,1,2,31,1,2,1,3,1,2,1
1,2,36,1,4,3990,5,2,3,2,1,2,4,29,1,2,1,1,1,1,1
1,4,21,4,1,3275,1,5,1,3,1,4,3,36,3,2,1,4,1,2,1
1,4,4,4,0,1455,1,4,2,3,1,1,1,42,3,2,3,2,2,1,1
1,4,24,4,6,1597,1,5,4,3,1,4,4,54,3,3,2,3,2,1,1
1,4,18,2,3,4594,1,2,3,3,1,2,3,32,3,2,1,3,1,2,1
0,1,24,2,3,1987,1,3,2,3,1,4,1,21,3,1,1,2,2,1,1
0,1,18,0,2,3114,1,2,1,2,1,4,2,26,3,1,1,3,1,1,1
1,4,15,2,3,3568,1,5,4,2,1,2,3,54,1,1,1,4,1,2,1
1,1,21,2,0,3763,5,4,2,3,2,2,1,24,3,2,1,2,1,1,2
0,2,72,2,3,5595,2,3,2,4,1,2,3,24,3,2,1,3,1,1,1
1,4,12,4,3,618,1,5,4,3,1,4,1,56,3,2,1,3,1,1,1
1,4,24,2,2,5511,2,3,4,3,1,1,3,25,2,2,1,3,1,1,1
1,2,48,3,10,7582,2,1,2,3,1,4,4,31,3,2,1,4,1,2,1
1,4,12,2,1,2445,5,2,2,4,1,4,3,26,3,1,1,3,1,2,1
1,3,12,2,2,2251,1,3,1,2,1,2,3,46,3,2,1,2,1,1,1
1,4,24,3,9,2978,5,3,4,3,1,4,1,32,3,2,2,3,2,2,1
1,1,24,2,1,2812,5,5,2,2,1,4,1,26,3,1,1,3,1,1,1
1,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,1,2,1
1,3,24,2,3,1377,2,5,4,2,1,2,4,47,3,3,1,3,1,2,1
1,4,21,3,1,2993,1,3,3,3,1,2,1,28,2,2,2,2,1,1,1
1,4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,1,1,1,1
1,1,24,2,1,2924,1,3,3,3,3,4,4,63,1,2,1,3,2,2,1
1,4,12,4,6,701,1,3,4,3,1,2,3,32,3,2,2,3,1,1,1
1,4,30,4,3,2831,1,3,4,2,1,2,3,33,3,2,1,3,1,2,1
1,2,18,4,3,1795,1,5,3,2,3,4,1,48,1,1,2,2,1,2,1
0,1,12,2,0,759,1,4,4,3,1,2,1,26,3,2,1,3,1,1,1
1,1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,1,2,1
1,2,36,3,0,2862,2,5,4,3,1,3,4,30,3,3,1,3,1,1,1
1,4,27,3,1,8613,4,3,2,3,1,2,3,27,3,2,2,3,1,1,1
1,4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,1,1,1
0,1,24,2,0,915,5,5,4,2,1,2,3,29,1,2,1,3,1,1,1
1,2,9,2,6,1199,1,4,4,2,1,4,2,67,3,2,2,4,1,2,1
1,1,27,2,3,3416,1,3,3,3,1,2,3,27,3,2,1,4,1,1,1
1,4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,2,2,1
1,1,12,2,0,3651,4,3,1,3,1,3,2,31,3,2,1,3,2,1,1
0,1,36,2,1,8335,5,5,3,3,1,4,4,47,3,3,1,3,1,1,1
1,4,15,1,3,1569,2,5,4,3,1,4,3,34,1,2,1,2,2,1,1
1,4,36,4,9,6304,5,5,4,3,1,4,1,36,3,2,2,3,1,1,1
1,4,10,2,1,2901,5,2,1,2,1,4,1,31,3,1,1,3,1,1,1
0,4,18,4,0,1530,1,3,3,3,1,2,2,32,1,2,2,3,1,1,1
1,1,15,3,2,3643,1,5,1,2,1,4,2,27,3,2,2,2,1,1,1
1,1,14,2,0,3973,1,1,1,3,1,4,4,22,3,3,1,3,1,1,1
1,2,60,3,3,9157,5,3,2,3,1,2,4,27,3,3,1,4,1,1,1
1,4,18,2,3,1453,1,2,3,2,1,1,1,26,3,2,1,3,1,1,1
1,1,15,4,2,975,1,3,2,1,1,3,2,25,3,2,2,3,1,1,1
1,1,12,2,3,1107,1,3,2,3,1,2,1,20,3,1,1,4,2,2,1
0,4,24,3,0,2538,1,5,4,3,1,4,3,47,3,2,2,2,2,1,1
1,4,12,2,3,2073,2,3,4,2,2,2,1,28,3,2,1,3,1,1,1
0,4,24,2,9,4591,4,3,2,3,1,3,2,54,3,2,3,4,1,2,1
0,2,12,2,3,1484,5,3,2,4,1,1,1,25,3,2,1,3,1,2,1
1,3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,1,1,1
0,1,24,0,2,4110,1,5,3,3,1,4,4,23,1,1,2,3,2,1,1
1,2,24,2,1,2760,5,5,4,3,1,4,4,36,1,3,1,3,1,2,1
1,2,12,2,3,1155,1,5,3,4,3,3,1,40,1,2,2,2,1,1,1
1,2,18,2,0,6260,1,4,3,3,1,3,1,28,3,1,1,2,1,1,1
0,1,24,1,9,3161,1,3,4,3,1,2,2,31,1,1,1,3,1,2,1
1,1,24,1,1,3632,1,3,1,2,3,4,3,22,1,1,1,3,1,1,2
1,4,24,4,2,2028,1,4,2,3,1,2,2,30,3,2,2,2,1,1,1
0,1,24,1,3,1546,1,4,4,3,3,4,3,24,1,1,1,2,1,1,1
1,4,24,4,3,1516,4,3,4,2,1,1,1,43,3,2,2,2,1,1,1
1,4,12,4,9,1264,5,5,4,3,1,4,4,57,3,1,1,2,1,1,1
0,1,48,0,1,4605,1,5,3,3,1,4,4,24,3,3,2,3,2,1,1
1,4,24,4,1,4042,5,4,3,3,1,4,2,43,3,2,2,3,1,2,1
0,2,15,2,3,802,1,5,4,3,1,3,3,37,3,2,1,3,2,1,1
1,4,15,2,1,1300,5,5,4,3,1,4,4,45,1,3,1,3,2,1,1
1,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,1,2,1
1,2,21,4,9,3652,1,4,2,3,1,3,2,27,3,2,2,3,1,1,1
0,1,12,1,0,697,1,2,4,3,1,2,3,46,1,2,2,3,1,2,1
1,4,18,2,2,2515,1,3,3,3,1,4,1,43,3,2,1,3,1,2,1
0,2,36,2,2,9034,2,2,4,3,2,1,4,29,3,1,1,4,1,2,1
1,3,36,2,3,4473,1,5,4,3,1,2,3,31,3,2,1,3,1,1,1
1,4,18,2,3,1126,5,2,4,2,1,2,1,21,3,1,1,3,1,2,1
0,1,9,2,3,1366,1,2,3,2,1,4,2,22,3,1,1,3,1,1,1
0,1,12,4,0,3499,1,3,3,2,2,2,1,29,3,2,2,3,1,1,1
1,4,9,4,3,3074,5,3,1,3,1,2,1,33,3,2,2,3,2,1,1
1,2,48,3,9,6681,5,3,4,3,1,4,4,38,3,3,1,3,2,2,1
0,1,48,0,2,7119,1,3,3,3,1,4,4,53,3,3,2,3,2,1,1
1,1,36,4,2,2348,1,3,3,4,1,2,2,46,3,2,2,3,1,2,1
1,4,15,2,0,3186,4,4,2,2,1,3,3,20,3,1,1,3,1,1,1
1,4,24,2,0,7393,1,3,1,3,1,4,2,43,3,2,1,2,2,1,1
0,3,9,0,3,1337,1,2,4,3,1,2,3,34,3,2,2,4,1,2,1
1,2,6,2,3,368,5,5,4,3,1,4,2,38,3,2,1,3,1,1,1
1,1,6,4,0,3676,1,3,1,3,1,3,1,37,3,1,3,3,2,1,1
0,1,24,2,0,1442,1,4,4,2,1,4,3,23,3,1,2,3,1,1,1
0,2,36,0,9,1953,1,5,4,3,1,4,4,61,3,3,1,4,1,2,1
1,2,6,2,3,753,1,3,2,2,3,3,1,64,3,2,1,3,1,1,1
1,4,24,4,0,2463,2,4,4,4,1,3,2,27,3,2,2,3,1,2,1
1,2,20,3,10,2629,1,3,2,3,1,3,3,29,1,2,2,3,1,2,1
0,2,9,2,3,1670,1,2,4,2,1,2,3,22,3,2,1,3,1,2,1
1,1,36,2,0,3249,1,4,2,3,1,4,4,39,1,3,1,4,2,2,1
0,1,24,3,3,1659,1,2,4,2,1,2,3,29,3,1,1,2,1,2,1
0,3,15,4,3,1271,5,3,3,3,1,4,4,39,3,3,2,3,1,2,1
1,2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,1,2,1
1,4,36,2,6,9055,5,3,2,3,1,4,4,35,3,3,1,2,2,2,1
1,3,10,4,3,1347,5,4,4,3,1,2,2,27,3,2,2,3,1,2,1
0,3,9,2,3,745,1,3,3,2,1,2,1,28,3,2,1,2,1,1,1
1,2,27,3,1,5965,1,5,1,3,1,2,3,30,3,2,2,4,1,2,1
1,2,18,4,2,3612,1,5,3,2,1,4,2,37,3,2,1,3,1,2,2
1,3,18,1,3,1445,5,4,4,3,1,4,3,49,1,2,1,2,1,1,1
1,1,21,2,3,3357,4,2,4,2,1,2,3,29,1,2,1,3,1,1,1
1,3,10,2,4,1225,1,3,2,3,1,2,3,37,3,2,1,3,1,2,1
1,4,6,1,3,1750,3,5,2,3,1,4,2,45,1,2,1,2,2,1,1
1,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,1,1,1
1,4,18,4,2,3780,1,2,3,1,1,2,3,35,3,2,2,4,1,2,1
1,2,24,4,0,3878,2,2,4,1,1,2,3,37,3,2,1,3,1,2,1
1,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,1,1,1
1,4,12,2,1,4675,5,2,1,2,1,4,3,20,3,1,1,3,1,1,1
1,2,18,2,3,1113,1,3,4,2,3,4,1,26,3,2,1,2,2,1,1
1,2,30,4,0,2181,5,5,4,3,1,4,1,36,3,2,2,3,1,1,1
0,4,36,4,2,7127,1,2,2,2,1,4,2,23,3,1,2,3,1,2,1
0,1,21,3,6,3414,1,2,2,3,1,1,2,26,2,2,2,3,1,1,1
1,3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,1,1,1
1,4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,2,2,1
0,1,30,2,5,11998,1,2,1,1,1,1,4,34,1,2,1,2,1,2,1
0,1,18,2,2,2039,1,3,1,2,1,4,1,20,3,1,1,3,1,1,1
1,2,30,2,3,1715,5,3,4,2,1,1,3,26,3,2,1,3,1,1,1
1,2,11,3,3,4771,1,4,2,3,1,4,2,51,3,2,1,3,1,1,1
1,2,42,1,1,9283,1,1,1,3,1,2,4,55,1,3,1,4,1,2,1
1,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,1,2,1,2
0,1,24,2,0,3123,1,2,4,2,1,1,2,27,3,2,1,3,1,1,1
1,4,12,2,6,1393,1,5,4,3,1,4,2,47,1,2,3,3,2,2,1
1,4,36,2,3,2299,3,5,4,3,1,4,3,39,3,2,1,3,1,1,1
1,4,36,3,1,8947,5,4,3,3,1,2,3,31,2,2,1,4,2,2,1
1,1,6,2,2,1374,1,3,1,3,1,2,1,36,1,2,1,2,1,2,1
0,3,36,2,3,4210,1,3,4,3,1,2,3,26,3,2,1,3,1,1,1
1,2,48,1,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,1,1,1
1,2,12,2,1,2028,5,3,4,3,1,2,3,30,3,2,1,3,1,1,1
1,3,6,2,2,2116,1,3,2,3,1,2,1,41,3,2,1,3,1,2,1
1,2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,1,1,1
1,1,12,2,6,1200,5,3,4,2,1,4,2,23,1,1,1,3,1,2,1
1,4,30,2,1,4811,5,4,2,2,1,4,2,24,2,1,1,2,1,1,1
1,4,24,4,1,2197,5,4,4,3,1,4,3,43,3,2,2,3,2,2,1
1,4,15,2,4,874,5,2,4,2,1,1,1,24,3,2,1,3,1,1,1
0,2,18,4,3,1245,1,3,4,4,1,2,3,33,3,2,1,3,1,1,1
0,1,24,2,2,3234,1,2,4,2,1,4,1,23,3,1,1,2,1,2,1
1,4,24,2,2,929,5,4,4,3,1,2,3,31,2,2,1,3,1,2,1
1,1,15,2,0,1721,1,2,2,3,1,3,1,36,3,2,1,3,1,1,1
1,1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1
0,2,24,2,1,12579,1,5,4,2,1,2,4,44,3,3,1,4,1,2,1
1,4,18,2,3,2051,1,2,4,3,1,1,1,33,3,2,1,3,1,1,1
1,2,36,4,1,5800,1,3,3,3,1,4,3,34,3,2,2,3,1,2,1
1,4,24,4,9,4526,1,3,3,3,1,2,1,74,3,2,1,4,1,2,1
1,4,12,2,1,1413,4,4,3,3,1,2,2,55,3,2,1,3,1,1,2
1,1,15,4,2,1478,1,5,4,3,1,4,3,44,3,2,2,3,2,2,1
1,4,28,4,3,2743,1,5,4,3,1,2,3,29,3,2,2,3,1,1,1
1,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,1,1,1
0,2,30,3,3,1919,2,2,4,3,1,3,4,30,2,2,2,4,1,1,1
1,2,9,2,0,1549,5,2,4,3,1,2,1,35,3,2,1,1,1,1,1
1,4,18,2,0,2662,5,4,4,3,1,3,2,32,3,2,1,3,1,1,2
0,2,6,2,0,14555,5,1,1,3,1,2,2,23,3,2,1,1,1,2,1
1,1,42,2,2,7882,1,4,2,3,3,4,2,45,3,3,1,3,2,1,1
0,2,12,2,0,1295,1,2,3,2,1,1,3,25,3,1,1,3,1,1,1
1,4,18,4,1,3850,1,4,3,3,1,1,3,27,3,2,2,3,1,1,1
1,4,33,3,9,2764,1,3,2,2,1,2,3,26,3,2,2,3,1,2,1
0,1,36,1,2,2746,1,5,4,3,1,4,3,31,1,2,1,3,1,1,1
1,2,18,2,9,1913,4,2,3,4,1,3,1,36,1,2,1,3,1,2,1
1,4,60,3,3,15653,1,4,2,3,1,4,3,21,3,2,2,3,1,2,1
1,4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,1,2,1
0,4,36,2,2,10974,1,1,4,2,1,2,3,26,3,2,2,4,1,2,1
0,4,10,2,0,1309,5,3,4,3,3,4,2,27,3,2,1,2,1,1,1
1,2,13,4,3,882,1,2,4,3,3,4,1,23,3,2,2,3,1,1,1
0,1,24,2,0,2303,1,5,4,3,2,1,1,45,3,2,1,3,1,1,1
1,4,12,4,5,996,5,4,4,2,1,4,1,23,3,2,2,3,1,1,1
0,1,24,2,0,1285,5,4,4,2,1,4,4,32,3,1,1,3,1,1,1
1,3,6,3,3,683,1,2,2,2,1,1,2,29,1,2,1,3,1,1,1
0,3,15,2,3,2327,1,2,2,2,1,3,1,25,3,2,1,2,1,1,1
0,1,9,2,0,1422,1,2,3,3,1,2,4,27,3,3,1,4,1,2,1
0,1,36,2,0,1842,1,2,4,2,1,4,3,34,3,2,1,3,1,2,1
1,1,24,2,2,3149,1,2,4,3,1,1,4,22,1,3,1,3,1,1,1
0,1,12,2,0,1274,1,2,3,2,1,1,1,37,1,2,1,2,1,1,1
1,4,7,3,3,846,5,5,3,3,1,4,4,36,3,3,1,3,1,1,1
0,1,21,2,3,1835,1,3,3,2,1,2,1,25,3,2,2,3,1,2,1
1,4,6,2,8,1238,5,1,4,3,1,4,2,36,3,2,1,4,2,2,1
0,1,18,4,5,1190,1,1,2,2,1,4,4,55,3,3,3,1,2,1,1
1,2,10,2,2,1521,1,3,4,1,1,2,3,31,3,2,1,2,1,1,1
1,1,12,4,3,385,1,4,4,2,1,3,1,58,3,2,4,2,1,2,1
1,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,1,2,1
1,4,12,4,2,1935,1,5,4,3,1,4,1,43,3,2,3,3,1,2,1
0,2,30,4,0,4249,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1
1,1,24,4,1,6419,1,5,2,2,1,4,4,44,3,3,2,4,2,2,1
1,4,12,1,8,3447,3,3,4,2,1,3,1,35,3,2,1,2,2,1,1
1,4,15,2,3,1979,5,5,4,3,1,2,3,35,3,2,1,3,1,1,1
0,1,45,2,3,1845,1,3,4,3,1,4,4,23,3,3,1,3,1,2,1
1,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,1,2,1
1,4,24,2,1,2603,4,3,2,2,1,4,3,28,3,1,1,3,1,2,1
1,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,1,2,1
1,1,12,2,2,3590,1,3,2,3,2,2,2,29,3,2,1,2,2,1,1
1,4,24,4,1,2346,1,4,4,3,1,3,3,35,3,2,2,3,1,2,1
1,1,21,2,3,2606,1,2,4,2,1,4,2,28,3,1,1,4,1,2,1
1,4,24,2,0,2255,5,2,4,3,1,1,2,54,3,2,1,3,1,1,1
1,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,2,1,2
1,2,48,0,9,12204,5,3,2,3,1,2,3,48,1,2,1,4,1,2,1
1,4,6,0,3,426,1,5,4,4,1,4,3,39,3,2,1,2,1,1,1
1,2,9,4,3,1154,1,5,2,3,1,4,1,37,3,2,3,2,1,1,1
1,4,15,3,3,1478,1,3,4,4,1,3,1,33,1,2,2,3,1,1,1
1,2,18,3,9,2427,5,5,4,3,1,2,2,42,3,2,2,3,1,1,1
0,1,18,2,3,2600,1,3,4,3,1,4,4,65,3,3,2,3,1,1,1
1,2,36,3,9,9857,2,4,1,3,1,3,2,31,3,2,2,2,2,2,1
0,4,12,4,9,2292,1,1,4,3,1,2,3,42,2,2,2,4,1,2,1
0,1,40,4,6,5998,1,3,4,3,1,3,4,27,1,2,1,3,1,2,1
0,1,24,2,3,1938,1,2,4,1,1,3,2,32,3,2,1,3,1,1,1
1,4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,1,2,1
0,1,12,2,0,2579,1,2,4,3,1,1,1,33,3,2,1,2,2,1,1
1,4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,1,1,1
0,1,36,2,1,8229,1,3,2,3,1,2,2,26,3,2,1,3,2,1,1
1,4,6,3,3,935,1,3,3,2,1,2,1,24,3,2,1,3,1,1,1
1,4,22,2,0,1283,5,4,4,2,1,4,2,25,3,1,1,3,1,1,1
0,2,30,4,0,5234,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1
0,2,12,2,3,6468,5,1,2,3,1,1,4,52,3,2,1,4,1,2,1
1,2,24,3,2,2333,5,2,4,3,1,2,2,29,1,2,1,2,1,1,1
0,1,24,1,2,3552,1,4,3,3,1,4,3,27,1,2,1,3,1,1,1
1,4,36,2,0,909,3,5,4,3,1,4,2,36,3,2,1,3,1,1,1
1,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,1,1,2
0,3,30,3,9,1908,1,5,4,3,1,4,1,66,3,2,1,4,1,2,1
1,4,13,2,3,1409,2,1,2,2,1,4,1,64,3,2,1,3,1,1,1
0,2,24,2,1,11560,1,3,1,2,1,4,3,23,3,1,2,4,1,1,1
0,4,18,2,2,1533,1,2,4,4,2,1,2,43,3,2,1,2,2,1,1
1,1,11,4,0,3939,1,3,1,3,1,2,1,40,3,2,2,2,2,1,1
1,3,6,4,0,1323,2,5,2,1,1,4,3,28,3,2,2,3,2,2,1
1,1,24,1,2,2483,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1
1,1,24,2,2,4020,1,3,2,3,1,2,3,27,2,2,1,3,1,1,1
0,2,30,2,0,2150,1,3,4,2,3,2,4,24,1,2,1,3,1,1,1
0,4,12,3,5,1555,4,5,4,3,1,4,4,55,3,3,2,3,2,1,1
1,2,12,4,0,3124,1,2,1,3,1,3,1,49,1,2,2,2,2,1,1
1,4,30,4,1,7596,5,5,1,3,1,4,3,63,3,2,2,3,1,1,1
1,4,24,2,3,1533,1,2,4,2,1,3,3,38,2,2,1,3,1,2,1
1,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,1
1,2,8,2,9,907,1,2,3,4,1,2,1,26,3,2,1,3,1,2,1
1,3,12,2,3,3399,5,5,2,3,1,3,3,37,3,2,1,4,1,1,1
1,2,9,2,3,458,1,3,4,3,1,3,1,24,3,2,1,3,1,1,1
1,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,1,1,1
1,1,47,2,0,10722,1,2,1,2,1,1,1,35,3,2,1,2,1,2,1
0,2,12,2,0,685,1,4,2,4,1,3,3,25,1,2,1,2,1,1,1
1,2,12,2,3,625,1,2,4,4,3,1,1,26,1,2,1,2,1,1,1
0,2,24,2,0,1355,1,2,3,2,1,4,3,25,3,2,1,2,1,2,1
0,1,24,3,0,1333,1,1,4,3,1,2,1,43,3,3,2,3,2,1,1
